Año,Grupo Compañía,Pasillo,Fabricante,Pasajeros
2010,"VUELING AIRLINES, S.A.",Pasillo único,Airbus,15914968
2010,"VUELING AIRLINES, S.A.",Pasillo único,Boeing,10490
2010,"VUELING AIRLINES, S.A.",Pasillo único,Otros,22653
2011,AIR EUROPA,Doble pasillo,Airbus,1407287
2011,AIR EUROPA,Doble pasillo,Boeing,318742
2011,AIR EUROPA,Pasillo único,Airbus,10960
2011,AIR EUROPA,Pasillo único,Boeing,8681130
2011,AIR EUROPA,Pasillo único,Otros,3671155
2011,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,2251
2011,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,957
2011,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1241080
2011,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,3516928
2011,AIR FRANCE-KLM GROUP,Pasillo único,Otros,504016
2011,AIRBERLIN GROUP,Doble pasillo,Airbus,1020217
2011,AIRBERLIN GROUP,Doble pasillo,Boeing,475
2011,AIRBERLIN GROUP,Pasillo único,Airbus,6572734
2011,AIRBERLIN GROUP,Pasillo único,Boeing,5593593
2011,AIRBERLIN GROUP,Pasillo único,Otros,53314
2011,BINTER CANARIAS,Pasillo único,Airbus,101
2011,BINTER CANARIAS,Pasillo único,Otros,5177234
2011,EASYJET,Pasillo único,Airbus,12590392
2011,EASYJET,Pasillo único,Boeing,145691
2011,EASYJET,Pasillo único,Otros,46169
2011,GRUPO IBERIA,Doble pasillo,Airbus,5177000
2011,GRUPO IBERIA,Pasillo único,Airbus,19106520
2011,GRUPO IBERIA,Pasillo único,Boeing,350
2011,GRUPO IBERIA,Pasillo único,Otros,8136711
2011,LUFTHANSA GROUP,Doble pasillo,Airbus,18863
2011,LUFTHANSA GROUP,Doble pasillo,Boeing,0
2011,LUFTHANSA GROUP,Pasillo único,Airbus,5232875
2011,LUFTHANSA GROUP,Pasillo único,Boeing,1011332
2011,LUFTHANSA GROUP,Pasillo único,Otros,536678
2011,RYANAIR GROUP,Doble pasillo,Airbus,330
2011,RYANAIR GROUP,Doble pasillo,Boeing,352
2011,RYANAIR GROUP,Pasillo único,Airbus,2411
2011,RYANAIR GROUP,Pasillo único,Boeing,34074198
2011,RYANAIR GROUP,Pasillo único,Otros,92886
2011,TUI GROUP,Doble pasillo,Airbus,452
2011,TUI GROUP,Doble pasillo,Boeing,342728
2011,TUI GROUP,Pasillo único,Airbus,549480
2011,TUI GROUP,Pasillo único,Boeing,7703496
2011,TUI GROUP,Pasillo único,Otros,16737
2011,"VUELING AIRLINES, S.A.",Doble pasillo,Airbus,736
2011,"VUELING AIRLINES, S.A.",Pasillo único,Airbus,17688716
2011,"VUELING AIRLINES, S.A.",Pasillo único,Boeing,22678
2011,"VUELING AIRLINES, S.A.",Pasillo único,Otros,11248
2012,AIR EUROPA,Doble pasillo,Airbus,2253916
2012,AIR EUROPA,Doble pasillo,Boeing,51219
2012,AIR EUROPA,Pasillo único,Airbus,3059
2012,AIR EUROPA,Pasillo único,Boeing,7187110
2012,AIR EUROPA,Pasillo único,Otros,3014521
2012,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,170
2012,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,204
2012,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1340110
2012,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,3563898
2012,AIR FRANCE-KLM GROUP,Pasillo único,Otros,460735
2012,AIRBERLIN GROUP,Doble pasillo,Airbus,945656
2012,AIRBERLIN GROUP,Doble pasillo,Boeing,5691
2012,AIRBERLIN GROUP,Pasillo único,Airbus,6221969
2012,AIRBERLIN GROUP,Pasillo único,Boeing,4865712
2012,AIRBERLIN GROUP,Pasillo único,Otros,27698
2012,BINTER CANARIAS,Pasillo único,Otros,4815090
2012,EASYJET,Pasillo único,Airbus,13467332
2012,EASYJET,Pasillo único,Boeing,3090
2012,EASYJET,Pasillo único,Otros,42014
2012,GRUPO IBERIA,Doble pasillo,Airbus,4582203
2012,GRUPO IBERIA,Pasillo único,Airbus,19427582
2012,GRUPO IBERIA,Pasillo único,Otros,7476958
2012,LUFTHANSA GROUP,Doble pasillo,Airbus,11326
2012,LUFTHANSA GROUP,Doble pasillo,Boeing,316
2012,LUFTHANSA GROUP,Pasillo único,Airbus,6147538
2012,LUFTHANSA GROUP,Pasillo único,Boeing,591935
2012,LUFTHANSA GROUP,Pasillo único,Otros,503070
2012,RYANAIR GROUP,Doble pasillo,Airbus,318
2012,RYANAIR GROUP,Pasillo único,Airbus,4599
2012,RYANAIR GROUP,Pasillo único,Boeing,35494904
2012,RYANAIR GROUP,Pasillo único,Otros,65827
2012,TUI GROUP,Doble pasillo,Airbus,693
2012,TUI GROUP,Doble pasillo,Boeing,459507
2012,TUI GROUP,Pasillo único,Airbus,213462
2012,TUI GROUP,Pasillo único,Boeing,7765050
2012,TUI GROUP,Pasillo único,Otros,2859
2012,"VUELING AIRLINES, S.A.",Doble pasillo,Airbus,447
2012,"VUELING AIRLINES, S.A.",Pasillo único,Airbus,20736146
2012,"VUELING AIRLINES, S.A.",Pasillo único,Boeing,63905
2012,"VUELING AIRLINES, S.A.",Pasillo único,Otros,41692
2013,AIR EUROPA,Doble pasillo,Airbus,2822299
2013,AIR EUROPA,Pasillo único,Airbus,2797
2013,AIR EUROPA,Pasillo único,Boeing,7056508
2013,AIR EUROPA,Pasillo único,Otros,3883618
2013,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,676
2013,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,707
2013,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1441136
2013,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,4026036
2013,AIR FRANCE-KLM GROUP,Pasillo único,Otros,340394
2013,AIRBERLIN GROUP,Doble pasillo,Airbus,641198
2013,AIRBERLIN GROUP,Doble pasillo,Boeing,4111
2013,AIRBERLIN GROUP,Pasillo único,Airbus,5983032
2013,AIRBERLIN GROUP,Pasillo único,Boeing,4185287
2013,AIRBERLIN GROUP,Pasillo único,Otros,21470
2013,BINTER CANARIAS,Pasillo único,Otros,4984840
2013,EASYJET,Doble pasillo,Airbus,288
2013,EASYJET,Pasillo único,Airbus,11934303
2013,EASYJET,Pasillo único,Boeing,12442
2013,EASYJET,Pasillo único,Otros,44754
2013,GRUPO IBERIA,Doble pasillo,Airbus,3898060
2013,GRUPO IBERIA,Pasillo único,Airbus,15173323
2013,GRUPO IBERIA,Pasillo único,Boeing,131
2013,GRUPO IBERIA,Pasillo único,Otros,6408242
2013,LUFTHANSA GROUP,Doble pasillo,Airbus,17605
2013,LUFTHANSA GROUP,Doble pasillo,Boeing,0
2013,LUFTHANSA GROUP,Pasillo único,Airbus,7189575
2013,LUFTHANSA GROUP,Pasillo único,Boeing,55289
2013,LUFTHANSA GROUP,Pasillo único,Otros,484408
2013,RYANAIR GROUP,Pasillo único,Airbus,1269
2013,RYANAIR GROUP,Pasillo único,Boeing,32363634
2013,RYANAIR GROUP,Pasillo único,Otros,63663
2013,TUI GROUP,Doble pasillo,Airbus,2494
2013,TUI GROUP,Doble pasillo,Boeing,416358
2013,TUI GROUP,Pasillo único,Airbus,24902
2013,TUI GROUP,Pasillo único,Boeing,7904082
2013,TUI GROUP,Pasillo único,Otros,109232
2013,"VUELING AIRLINES, S.A.",Doble pasillo,Airbus,4987
2013,"VUELING AIRLINES, S.A.",Doble pasillo,Boeing,8487
2013,"VUELING AIRLINES, S.A.",Pasillo único,Airbus,23296369
2013,"VUELING AIRLINES, S.A.",Pasillo único,Boeing,8862
2013,"VUELING AIRLINES, S.A.",Pasillo único,Otros,204606
2014,AIR EUROPA,Doble pasillo,Airbus,3218931
2014,AIR EUROPA,Doble pasillo,Boeing,3347
2014,AIR EUROPA,Pasillo único,Airbus,2455
2014,AIR EUROPA,Pasillo único,Boeing,6965782
2014,AIR EUROPA,Pasillo único,Otros,4655340
2014,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,1
2014,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,1
2014,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1446157
2014,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,4116984
2014,AIR FRANCE-KLM GROUP,Pasillo único,Otros,335039
2014,AIRBERLIN GROUP,Doble pasillo,Airbus,707438
2014,AIRBERLIN GROUP,Doble pasillo,Boeing,1254
2014,AIRBERLIN GROUP,Pasillo único,Airbus,5737913
2014,AIRBERLIN GROUP,Pasillo único,Boeing,3884621
2014,AIRBERLIN GROUP,Pasillo único,Otros,61937
2014,BINTER CANARIAS,Pasillo único,Otros,5126211
2014,EASYJET,Doble pasillo,Boeing,400
2014,EASYJET,Pasillo único,Airbus,12281721
2014,EASYJET,Pasillo único,Boeing,50052
2014,EASYJET,Pasillo único,Otros,50460
2014,GRUPO IBERIA,Doble pasillo,Airbus,3886634
2014,GRUPO IBERIA,Pasillo único,Airbus,15591772
2014,GRUPO IBERIA,Pasillo único,Boeing,505
2014,GRUPO IBERIA,Pasillo único,Otros,6651003
2014,LUFTHANSA GROUP,Doble pasillo,Airbus,22466
2014,LUFTHANSA GROUP,Doble pasillo,Boeing,0
2014,LUFTHANSA GROUP,Pasillo único,Airbus,7675814
2014,LUFTHANSA GROUP,Pasillo único,Boeing,13217
2014,LUFTHANSA GROUP,Pasillo único,Otros,436464
2014,RYANAIR GROUP,Pasillo único,Airbus,10258
2014,RYANAIR GROUP,Pasillo único,Boeing,31638905
2014,RYANAIR GROUP,Pasillo único,Otros,48044
2014,TUI GROUP,Doble pasillo,Airbus,853
2014,TUI GROUP,Doble pasillo,Boeing,384347
2014,TUI GROUP,Pasillo único,Airbus,6560
2014,TUI GROUP,Pasillo único,Boeing,7983625
2014,TUI GROUP,Pasillo único,Otros,165244
2014,"VUELING AIRLINES, S.A.",Doble pasillo,Boeing,2434
2014,"VUELING AIRLINES, S.A.",Pasillo único,Airbus,26751733
2014,"VUELING AIRLINES, S.A.",Pasillo único,Boeing,79788
2014,"VUELING AIRLINES, S.A.",Pasillo único,Otros,80980
2015,AIR EUROPA,Doble pasillo,Airbus,3476871
2015,AIR EUROPA,Doble pasillo,Boeing,96308
2015,AIR EUROPA,Pasillo único,Airbus,1483
2015,AIR EUROPA,Pasillo único,Boeing,7033010
2015,AIR EUROPA,Pasillo único,Otros,4973048
2015,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,196
2015,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,336
2015,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1457852
2015,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,4522585
2015,AIR FRANCE-KLM GROUP,Pasillo único,Otros,362872
2015,AIRBERLIN GROUP,Doble pasillo,Airbus,680003
2015,AIRBERLIN GROUP,Doble pasillo,Boeing,2883
2015,AIRBERLIN GROUP,Pasillo único,Airbus,6476213
2015,AIRBERLIN GROUP,Pasillo único,Boeing,2475050
2015,AIRBERLIN GROUP,Pasillo único,Otros,78162
2015,BINTER CANARIAS,Pasillo único,Boeing,123
2015,BINTER CANARIAS,Pasillo único,Otros,5249711
2015,EASYJET,Pasillo único,Airbus,12771367
2015,EASYJET,Pasillo único,Boeing,68130
2015,EASYJET,Pasillo único,Otros,26718
2015,GRUPO IBERIA,Doble pasillo,Airbus,4444040
2015,GRUPO IBERIA,Doble pasillo,Boeing,3645
2015,GRUPO IBERIA,Pasillo único,Airbus,17396678
2015,GRUPO IBERIA,Pasillo único,Otros,7166028
2015,LUFTHANSA GROUP,Doble pasillo,Airbus,9299
2015,LUFTHANSA GROUP,Doble pasillo,Boeing,324
2015,LUFTHANSA GROUP,Pasillo único,Airbus,8157188
2015,LUFTHANSA GROUP,Pasillo único,Boeing,11112
2015,LUFTHANSA GROUP,Pasillo único,Otros,278939
2015,RYANAIR GROUP,Doble pasillo,Airbus,351
2015,RYANAIR GROUP,Pasillo único,Airbus,510143
2015,RYANAIR GROUP,Pasillo único,Boeing,34622713
2015,RYANAIR GROUP,Pasillo único,Otros,22652
2015,TUI GROUP,Doble pasillo,Airbus,6234
2015,TUI GROUP,Doble pasillo,Boeing,500331
2015,TUI GROUP,Pasillo único,Airbus,6645
2015,TUI GROUP,Pasillo único,Boeing,8131364
2015,TUI GROUP,Pasillo único,Otros,254653
2015,"VUELING AIRLINES, S.A.",Doble pasillo,Airbus,1028
2015,"VUELING AIRLINES, S.A.",Doble pasillo,Boeing,16968
2015,"VUELING AIRLINES, S.A.",Pasillo único,Airbus,29483185
2015,"VUELING AIRLINES, S.A.",Pasillo único,Boeing,37942
